Date,Dividends
2010-04-23,0.0273
2014-10-29,0.073
2016-10-26,0.02263
2017-02-02,0.05886
2012-04-23,0.035
2008-04-28,0.0369
2010-01-22,0.0327
2018-10-31,0.00639
2014-04-25,0.0355
2018-09-13,0.0725
2011-04-06,0.0369
2008-01-28,0.0356
2012-01-25,0.0348
2010-10-22,0.033
2015-04-29,0.0717
2013-03-14,0.027
2008-10-28,0.0401
2012-10-23,0.0353
2010-07-22,0.0337
2017-05-02,0.01959
2009-08-17,0.0194
2012-07-23,0.018
2008-07-28,0.0389
2013-04-19,0.0037
2015-10-28,0.079674
2016-05-11,0.04296
2009-04-27,0.025
2009-01-21,0.0478
2011-01-21,0.0329
2017-11-03,0.08108
2013-01-21,0.0362
2011-10-21,0.0338
2014-01-23,0.0352
2018-04-27,0.0788
2016-08-05,0.058
2013-10-22,0.036
2009-10-27,0.0154
2011-07-22,0.0281
2012-05-09,0.0173
2009-07-27,0.0362
2013-07-22,0.0355
2015-12-15,0.0306
